# Species Scorer Output 
#  Time [ps]    Gx(/100 eV)            RMS      Gx(#Mols)            Molecule
     16.2975              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     19.6304              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     23.6449              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     28.4804              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     34.3047              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     41.3201              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     49.7702              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     59.9484              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     72.2081              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
     86.9749              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
         100              0              0              0   DNA_DamagedDeoxyribose_H5a_OH^0
